100nF	2	"C1 C4"
100uF,63V.,low-ESR	1	"C2"
M2_5_DRILL_HOLE	4	"DRILL_HOLE4 DRILL_HOLE3 DRILL_HOLE1 DRILL_HOLE2"
100uF,25V.,low-ESR	1	"C5"
1000uF,25V.,low-ESR	1	"C3"
8V7, Zener	1	"D6"
SB560	5	"D1 D2 D3 D4 D7"
RED	1	"D5"
YELLOW	1	"D8"
GREEN	1	"D9"
T.2.5A.	2	"F1 F2"
270R	2	"R9 R7"
LM2576TV-ADJG	1	"IC1"
22uH,>=3.6A.,toroid	1	"L2"
100uH,>=3.6A.,toroid	1	"L1"
MOLEX_15-24-4449	4	"P2 P3 P4 P5"
CONN_2	1	"P1"
BC547	1	"Q1"
196R;0.1%	1	"R8"
1K;0.1%	1	"R6"
1K8,>=1_W.	1	"R4"
2K87;0.1%	1	"R5"
10K	1	"R2"
20K	2	"R1 R3"
